WK,FPTS,MIN
1,24.5,35
1,14.5,34
1,30.5,38
2,10.5,31
2,26.5,35
2,9,23
3,17,29
3,22.5,31
3,25,22
3,21.5,32
4,16.5,32
4,16,33
4,24.5,40
4,23.5,36
5,23.5,35
5,28,34
6,21.5,43
6,22.5,36
6,20,42
7,21.5,32
7,32,29
7,20.5,35
7,18,37
8,26,37
8,18,34
9,9.5,22
9,27,36
10,4,28
