WK,FPTS,MIN
1,18.5,33
1,10,34
2,23,40
2,26.5,39
2,27,34
3,10,40
3,13,38
3,19,36
3,15,41
4,19,35
4,20.5,42
4,25,41
4,22,44
5,13,34
5,19,40
5,9,32
6,16,36
6,15,39
6,9.5,36
6,25,35
7,19.5,35
7,20.5,46
7,22.5,37
8,21,41
8,16,37
8,14,40
8,27.5,35
9,13.5,45
