WK,FPTS,MIN
1,30.5,39
1,34,37
1,26.5,35
2,29,31
2,42,35
2,38,32
3,28,33
3,21.5,33
3,21.5,34
3,31,34
4,26,37
4,29,31
4,17,30
4,37,34
5,37,40
5,20.5,33
5,31,36
5,21,27
6,23,29
6,40,31
6,35.5,36
6,40.5,38
7,19,31
7,5,24
7,-,-
8,14.5,31
9,33,30
9,20,35
9,18.5,36
10,26,35
