WK,FPTS,MIN
1,18.5,35
1,29,31
1,25,33
2,20.5,37
2,29,36
2,11,33
3,14.5,31
3,20.5,31
3,11,27
3,18,33
4,13.5,36
4,22,36
4,7,22
4,17,23
5,20,39
5,17.5,28
5,16,29
5,11.5,29
6,13,23
6,34.5,41
6,8,33
7,24.5,33
7,20,36
7,22,35
8,14,31
8,10.5,34
9,27,32
9,17,33
