WK,FPTS,MIN
1,34,26
1,26,31
1,26.5,32
2,23,35
2,14.5,18
2,24.5,29
2,18,31
3,23,31
3,24.5,28
3,23.5,26
3,36,35
4,18.5,31
4,13,34
4,-,-
4,22.5,34
5,30.5,38
5,18,17
5,25,32
6,43.5,36
6,29,36
6,21.5,35
7,25,31
7,29.5,32
7,43.5,34
7,6,11
8,-,-
9,18,23
9,16.5,27
9,37.5,30
10,33.5,33
