WK,FPTS,MIN
1,34,29
1,12,20
2,27,29
2,17,25
2,20,27
2,30,29
3,28,31
3,15,24
3,8.5,18
4,-,-
4,-,-
4,-,-
4,-,-
5,-,-
5,-,-
5,24.5,35
6,14,28
6,32,30
6,37,29
6,22.5,34
7,23.5,35
7,34.5,30
7,26,31
8,18.5,33
9,13,23
9,27,35
9,19.5,20
