WK,FPTS,MIN
1,-,-
1,-,-
1,-,-
2,-,-
2,-,-
2,-,-
3,-,-
3,-,-
3,-,-
3,-,-
4,-,-
4,-,-
4,-,-
5,-,-
5,-,-
5,-,-
5,-,-
6,-,-
6,-,-
7,-,-
7,-,-
7,19,23
8,16,19
8,11.5,22
9,-,-
9,11.5,19
9,26,23
