WK,FPTS,MIN
1,22,37
1,29.5,41
2,23,35
2,20,30
2,29.5,37
2,24,43
3,22.5,37
3,15.5,33
3,14.5,37
3,30.5,40
4,23,36
4,35,31
4,50,44
4,40,35
5,23.5,39
5,28,42
5,25,37
6,11.5,39
6,29.5,37
6,16.5,36
6,32,36
7,31,36
7,26,37
7,24,32
7,25,30
8,23.5,37
8,26.5,38
9,24,35
9,27,37
9,24.5,35
