WK,FPTS,MIN
1,19.5,33
1,31,39
1,38.5,37
2,22,31
2,25,35
2,19.5,28
3,22.5,36
3,20.5,28
3,30.5,36
3,30,38
4,28,34
4,15,27
4,14,29
4,24,32
5,30,36
5,22.5,30
5,23,30
5,25,25
6,24.5,28
6,28,23
6,24,33
6,13,35
7,19,28
7,12,26
7,28.5,36
8,24.5,31
9,31.5,25
9,34.5,33
9,27.5,33
