WK,FPTS,MIN
1,12.5,22
2,23,24
2,22.5,28
2,10.5,26
2,28.5,31
3,18,32
3,22.5,32
3,28,28
3,22.5,23
4,27.5,33
4,28,32
4,26,30
5,24.5,28
5,22.5,30
5,26,26
6,22.5,28
6,18,22
6,25.5,28
6,31,29
7,19,29
7,11.5,25
7,39,34
7,24,16
8,30.5,32
8,20.5,29
9,24,19
9,14,25
