WK,FPTS,MIN
1,12,33
1,27.5,32
1,28,32
2,30.5,26
2,25,26
2,20,34
3,25,34
3,41.5,36
3,14,31
3,23,31
4,31,35
4,40.5,31
4,25,30
4,28,35
5,38.5,33
5,37.5,35
6,25.5,32
6,24.5,16
6,17.5,33
6,27,37
7,27.5,27
7,20,28
7,30.5,34
8,18,32
8,20,38
9,24.5,33
9,11,35
9,26.5,35
10,19.5,29
