WK,FPTS,MIN
1,12,24
1,23.5,36
2,26,37
2,29,42
2,21,37
3,16,37
3,23,38
3,22,33
3,28,42
4,32.5,37
4,15,33
4,28,40
4,26.5,46
5,16,32
5,33.5,39
5,28.5,40
6,20.5,27
6,18.5,41
6,26,41
6,22,30
7,33.5,38
7,29,38
7,16,38
8,14.5,31
8,27,34
8,21.5,33
9,-,-
9,25.5,41
10,8,30
